96_oto_tray_barcode,96_oto_tray_position,48_DWP_tray_barcode,48_DWP_tray_position,box_number,oto_broken,oto_side,comment,Date,Initials
50917,1,2288,G2,,,LEFT,,4/15/2021,"Kristen, Bev, Jodi"
50917,2,2288,G2,,,UNK,,4/15/2021,"Kristen, Bev, Jodi"
50917,3,2288,H2,,,LEFT,,4/15/2021,"Kristen, Bev, Jodi"
50917,4,2288,G3,,,LEFT,,4/15/2021,"Kristen, Bev, Jodi"
50917,5,2288,G3,,,UNK,,4/15/2021,"Kristen, Bev, Jodi"
50917,6,2288,H3,,,UNK,,4/15/2021,"Kristen, Bev, Jodi"
50917,7,2288,G4,,,LEFT,,4/15/2021,"Kristen, Bev, Jodi"
50917,8,2288,H4,,,LEFT,,4/15/2021,"Kristen, Bev, Jodi"
50917,9,22006,B3,,,LEFT,,4/15/2021,"Kristen, Bev, Jodi"
50917,10,22006,B3,,,UNK,,4/15/2021,"Kristen, Bev, Jodi"
50917,11,22006,B3,,,UNK,,4/15/2021,"Kristen, Bev, Jodi"
50917,12,22006,C3,,,LEFT,,4/15/2021,"Kristen, Bev, Jodi"
50917,13,22006,D3,,,LEFT,,4/15/2021,"Kristen, Bev, Jodi"
50917,14,22006,E3,,,LEFT,,4/15/2021,"Kristen, Bev, Jodi"
50917,15,22006,B4,,,LEFT,,4/15/2021,"Kristen, Bev, Jodi"
50917,16,22006,C4,,,LEFT,,4/15/2021,"Kristen, Bev, Jodi"
50917,17,22006,C4,,TRUE,UNK,,4/15/2021,"Kristen, Bev, Jodi"
50917,18,22006,D4,,,LEFT,,4/15/2021,"Kristen, Bev, Jodi"
50917,19,22006,E4,,,LEFT,,4/15/2021,"Kristen, Bev, Jodi"
50917,20,22006,F4,,,LEFT,,4/15/2021,"Kristen, Bev, Jodi"
50917,21,22006,C5,,,LEFT,,4/15/2021,"Kristen, Bev, Jodi"
50917,22,22006,D5,,,LEFT,,4/15/2021,"Kristen, Bev, Jodi"
50917,23,22006,D5,,TRUE,UNK,,4/15/2021,"Kristen, Bev, Jodi"
50917,24,22006,E5,,,LEFT,,4/15/2021,"Kristen, Bev, Jodi"
50917,25,22006,G5,,,LEFT,,4/15/2021,"Kristen, Bev, Jodi"
50917,26,2232,B1,,,LEFT,,4/16/2021,"Kristen, Jodi"
50917,27,2232,C1,,,LEFT,,4/16/2021,"Kristen, Jodi"
50917,28,2232,E1,,TRUE,UNK,,4/16/2021,"Kristen, Jodi"
50917,29,2232,E1,,TRUE,UNK,,4/16/2021,"Kristen, Jodi"
50917,30,2232,F1,,,LEFT,,4/16/2021,"Kristen, Jodi"
50917,31,2232,G1,,,LEFT,,4/16/2021,"Kristen, Jodi"
50917,32,2232,H1,,TRUE,UNK,,4/16/2021,"Kristen, Jodi"
50917,33,2232,A2,,,LEFT,,4/16/2021,"Kristen, Jodi"
50917,34,2232,G2,,,LEFT,,4/16/2021,"Kristen, Jodi"
50917,35,2232,G3,,,LEFT,,4/16/2021,"Kristen, Jodi"
50917,36,2232,A4,,,LEFT,,4/16/2021,"Kristen, Jodi"
50917,37,2232,B4,,,LEFT,,4/16/2021,"Kristen, Jodi"
50917,38,2232,C4,,,LEFT,,4/16/2021,"Kristen, Jodi"
50917,39,2232,D4,,,LEFT,,4/16/2021,"Kristen, Jodi"
50917,40,2232,D4,,,LEFT,,4/16/2021,"Kristen, Jodi"
50917,41,2232,E4,,,LEFT,,4/16/2021,"Kristen, Jodi"
50917,42,2232,F4,,,UNK,,4/16/2021,"Kristen, Jodi"
50917,43,2232,F4,,,LEFT,,4/16/2021,"Kristen, Jodi"
50917,44,2232,F4,,,LEFT,,4/16/2021,"Kristen, Jodi"
50917,45,2232,F4,,,LEFT,,4/16/2021,"Kristen, Jodi"
50917,46,2232,H4,,,LEFT,,4/16/2021,"Kristen, Jodi"
50917,47,2232,H4,,,LEFT,,4/16/2021,"Kristen, Jodi"
50917,48,2232,H4,,,LEFT,,4/16/2021,"Kristen, Jodi"
50917,49,2232,A5,,,LEFT,,4/16/2021,"Kristen, Jodi"
50917,50,2232,B5,,,UNK,,4/16/2021,"Kristen, Jodi"
50917,51,2232,B5,,,UNK,,4/16/2021,"Kristen, Jodi"
50917,52,2232,B5,,,LEFT,,4/16/2021,"Kristen, Jodi"
50917,53,2232,B5,,,LEFT,,4/16/2021,"Kristen, Jodi"
50917,54,2232,B5,,,LEFT,,4/16/2021,"Kristen, Jodi"
50917,55,2232,C5,,,LEFT,,4/16/2021,"Kristen, Jodi"
50917,56,2232,C5,,,LEFT,,4/16/2021,"Kristen, Jodi"
50917,57,2232,C5,,,LEFT,,4/16/2021,"Kristen, Jodi"
50917,58,2232,C5,,,LEFT,,4/16/2021,"Kristen, Jodi"
50917,59,2232,E5,,,UNK,,4/16/2021,"Kristen, Jodi"
50917,60,2232,E5,,,LEFT,,4/16/2021,"Kristen, Jodi"
50917,61,2232,E5,,,LEFT,,4/16/2021,"Kristen, Jodi"
50917,62,2232,E5,,,LEFT,,4/16/2021,"Kristen, Jodi"
50917,63,2232,E5,,,LEFT,,4/16/2021,"Kristen, Jodi"
50917,64,2232,F5,,,LEFT,,4/16/2021,"Kristen, Jodi"
50917,65,2232,G5,,,LEFT,,4/16/2021,"Kristen, Jodi"
50917,66,2232,G5,,,LEFT,,4/16/2021,"Kristen, Jodi"
50917,67,2232,H5,,,LEFT,,4/16/2021,"Kristen, Jodi"
50917,68,2232,A6,,,LEFT,,4/16/2021,"Kristen, Jodi"
50917,69,2232,B6,,,LEFT,,4/16/2021,"Kristen, Jodi"
