dna_tray_code,dna_tray_well_code,sample_id,GCL_silly_code,GCL_fish_id
0000002160,37,53181_1226,PGILMOUR15,1226
0000002161,21,53181_1258,PGILMOUR15,1258
0000002163,13,53181_1346,PGILMOUR15,1346
0000002163,29,53181_1362,PGILMOUR15,1362
0000002192,20,53181_1840,PGILMOUR15,1840
0000002197,9,53181_2069,PGILMOUR15,2069
0000002197,10,53181_2070,PGILMOUR15,2070
0000002197,11,53181_2071,PGILMOUR15,2071
0000002197,12,53181_2072,PGILMOUR15,2072
0000002197,14,53181_2074,PGILMOUR15,2074
0000002197,15,53181_2075,PGILMOUR15,2075
0000002197,16,53181_2076,PGILMOUR15,2076
0000002202,10,53181_2310,PGILMOUR15,2310
0000002202,11,53181_2311,PGILMOUR15,2311
0000002202,12,53181_2312,PGILMOUR15,2312
0000002202,13,53181_2313,PGILMOUR15,2313
0000002202,14,53181_2314,PGILMOUR15,2314
0000002202,15,53181_2315,PGILMOUR15,2315
0000002202,16,53181_2316,PGILMOUR15,2316
0000002202,18,53181_2318,PGILMOUR15,2318
0000002202,20,53181_2320,PGILMOUR15,2320
0000002202,22,53181_2322,PGILMOUR15,2322
0000002202,23,53181_2323,PGILMOUR15,2323
0000002202,26,53181_2326,PGILMOUR15,2326
0000002202,28,53181_2328,PGILMOUR15,2328
0000002202,29,53181_2329,PGILMOUR15,2329
0000002202,30,53181_2330,PGILMOUR15,2330
0000002202,31,53181_2331,PGILMOUR15,2331
0000002202,34,53181_2334,PGILMOUR15,2334
0000002202,35,53181_2335,PGILMOUR15,2335
0000002202,38,53181_2338,PGILMOUR15,2338
0000002202,39,53181_2339,PGILMOUR15,2339
0000002202,40,53181_2340,PGILMOUR15,2340
0000002234,15,53181_3027,PGILMOUR15,3027
0000002839,12,53181_4974,PGILMOUR15,4974
0000002839,13,53181_4975,PGILMOUR15,4975
0000002839,14,53181_4976,PGILMOUR15,4976
0000002839,15,53181_4977,PGILMOUR15,4977
0000002839,20,53181_4982,PGILMOUR15,4982
0000002839,21,53181_4983,PGILMOUR15,4983
0000002839,22,53181_4984,PGILMOUR15,4984
0000002839,23,53181_4985,PGILMOUR15,4985
0000002839,30,53181_4992,PGILMOUR15,4992
0000002839,31,53181_4993,PGILMOUR15,4993
0000002933,16,53181_5749,PGILMOUR15,5749
0000003260,20,53173_12067,PERB15,12067
0000014373,30,53731_2701,PERB16,2701
0000014404,16,53730_2154,PPADDY16,2154
0000014416,39,53731_2423,PERB16,2423
0000014427,35,53731_2562,PERB16,2562
0000014428,13,53731_862,PERB16,862
0000014432,12,53731_3355,PERB16,3355
0000014446,29,53731_4554,PERB16,4554
0000014446,30,53731_4555,PERB16,4555
0000014446,31,53731_4556,PERB16,4556
0000014460,1,53730_472,PPADDY16,472
0000014460,2,53730_473,PPADDY16,473
0000014573,37,53729_1790,PGILMOUR16,1790
0000014596,12,53729_1621,PGILMOUR16,1621
0000014596,13,53729_1622,PGILMOUR16,1622
0000014596,14,53729_1623,PGILMOUR16,1623
0000014596,15,53729_1624,PGILMOUR16,1624
0000014596,16,53729_1625,PGILMOUR16,1625
0000014596,23,53729_1632,PGILMOUR16,1632
0000014596,24,53729_1633,PGILMOUR16,1633
0000014596,31,53729_1640,PGILMOUR16,1640
0000014596,32,53729_1641,PGILMOUR16,1641
0000014596,39,53729_1648,PGILMOUR16,1648
0000014596,40,53729_1649,PGILMOUR16,1649
0000014601,12,53729_3155,PGILMOUR16,3155
0000014601,45,53729_3188,PGILMOUR16,3188
0000014605,9,53729_1319,PGILMOUR16,1319
0000014605,10,53729_1320,PGILMOUR16,1320
0000014626,22,53729_2809,PGILMOUR16,2809
0000015800,26,53729_2456,PGILMOUR16,2456
0000016119,15,53731_1632,PERB16,1632
0000016122,16,53731_5238,PERB16,5238
0000016125,22,53730_654,PPADDY16,654
0000016125,30,53730_662,PPADDY16,662
0000016127,35,53730_2098,PPADDY16,2098
0000016133,36,53731_4875,PERB16,4875
0000016143,19,53731_676,PERB16,676
0000016145,22,53731_1447,PERB16,1447
0000021938,31,201700239,PERB17,14404
0000021938,39,201700239,PERB17,14412
0000021939,16,201700239,PERB17,13957
0000022108,11,201700240,PERB17,14240
0000022260,39,201700241,PERB17,423
0000022560,41,53932_1557,PGILMOUR17,1557
0000022561,45,53932_1657,PGILMOUR17,1657
0000022592,41,53932_5150,PGILMOUR17,5150
0000022592,42,53932_5151,PGILMOUR17,5151
0000022593,32,53932_813,PGILMOUR17,813
0000022601,40,53932_2307,PGILMOUR17,2307
0000022602,18,53932_1067,PGILMOUR17,1067
0000022629,1,53932_2900,PGILMOUR17,2900
0000022629,2,53932_2901,PGILMOUR17,2901
0000022629,4,53932_2903,PGILMOUR17,2903
0000022629,5,53932_2904,PGILMOUR17,2904
0000022629,6,53932_2905,PGILMOUR17,2905
0000022629,7,53932_2906,PGILMOUR17,2906
0000022629,8,53932_2907,PGILMOUR17,2907
0000022629,9,53932_2908,PGILMOUR17,2908
0000022629,10,53932_2909,PGILMOUR17,2909
0000022629,11,53932_2910,PGILMOUR17,2910
0000022629,12,53932_2911,PGILMOUR17,2911
0000022629,13,53932_2912,PGILMOUR17,2912
0000022629,14,53932_2913,PGILMOUR17,2913
0000022629,15,53932_2914,PGILMOUR17,2914
0000022629,16,53932_2915,PGILMOUR17,2915
0000022629,17,53932_2916,PGILMOUR17,2916
0000022629,18,53932_2917,PGILMOUR17,2917
0000022629,19,53932_2918,PGILMOUR17,2918
0000022629,20,53932_2919,PGILMOUR17,2919
0000022629,21,53932_2920,PGILMOUR17,2920
0000022629,22,53932_2921,PGILMOUR17,2921
0000022629,24,53932_2923,PGILMOUR17,2923
0000022629,25,53932_2924,PGILMOUR17,2924
0000022629,26,53932_2925,PGILMOUR17,2925
0000022629,28,53932_2927,PGILMOUR17,2927
0000022629,29,53932_2928,PGILMOUR17,2928
0000022629,30,53932_2929,PGILMOUR17,2929
0000022629,31,53932_2930,PGILMOUR17,2930
0000022629,32,53932_2931,PGILMOUR17,2931
0000022629,33,53932_2932,PGILMOUR17,2932
0000022629,34,53932_2933,PGILMOUR17,2933
0000022629,35,53932_2934,PGILMOUR17,2934
0000022629,37,53932_2936,PGILMOUR17,2936
0000022629,38,53932_2937,PGILMOUR17,2937
0000022629,39,53932_2938,PGILMOUR17,2938
0000022629,40,53932_2939,PGILMOUR17,2939
0000022629,41,53932_2940,PGILMOUR17,2940
0000022629,42,53932_2941,PGILMOUR17,2941
0000022629,43,53932_2942,PGILMOUR17,2942
0000022629,44,53932_2943,PGILMOUR17,2943
0000022629,45,53932_2944,PGILMOUR17,2944
0000022629,46,53932_2945,PGILMOUR17,2945
0000022629,47,53932_2946,PGILMOUR17,2946
0000022629,48,53932_2947,PGILMOUR17,2947
0000022674,42,53932_3944,PGILMOUR17,3944
0000022679,9,53932_3052,PGILMOUR17,3052
0000022679,10,53932_3053,PGILMOUR17,3053
0000022679,17,53932_3060,PGILMOUR17,3060
0000022679,18,53932_3061,PGILMOUR17,3061
0000022679,19,53932_3062,PGILMOUR17,3062
0000022679,20,53932_3063,PGILMOUR17,3063
0000022679,27,53932_3070,PGILMOUR17,3070
0000022679,28,53932_3071,PGILMOUR17,3071
0000022679,33,53932_3076,PGILMOUR17,3076
0000022679,34,53932_3077,PGILMOUR17,3077
0000022679,35,53932_3078,PGILMOUR17,3078
0000022679,36,53932_3079,PGILMOUR17,3079
0000022703,29,53932_435,PGILMOUR17,435
0000022745,9,53932_4475,PGILMOUR17,4475
0000022746,10,53932_4524,PGILMOUR17,4524
0000022749,2,53932_4772,PGILMOUR17,4772
0000022749,3,53932_4773,PGILMOUR17,4773
0000022749,4,53932_4774,PGILMOUR17,4774
0000022749,5,53932_4775,PGILMOUR17,4775
0000022749,6,53932_4776,PGILMOUR17,4776
0000022749,7,53932_4777,PGILMOUR17,4777
0000022749,10,53932_4780,PGILMOUR17,4780
0000022749,11,53932_4781,PGILMOUR17,4781
0000022749,12,53932_4782,PGILMOUR17,4782
0000022749,14,53932_4784,PGILMOUR17,4784
0000022749,15,53932_4785,PGILMOUR17,4785
0000022749,16,53932_4786,PGILMOUR17,4786
0000022749,18,53932_4788,PGILMOUR17,4788
0000022749,20,53932_4790,PGILMOUR17,4790
0000022749,21,53932_4791,PGILMOUR17,4791
0000022749,22,53932_4792,PGILMOUR17,4792
0000022749,23,53932_4793,PGILMOUR17,4793
0000022749,26,53932_4796,PGILMOUR17,4796
0000022749,34,53932_4804,PGILMOUR17,4804
0000022749,35,53932_4805,PGILMOUR17,4805
0000022749,36,53932_4806,PGILMOUR17,4806
0000022749,37,53932_4807,PGILMOUR17,4807
0000022749,38,53932_4808,PGILMOUR17,4808
0000022749,39,53932_4809,PGILMOUR17,4809
0000022749,40,53932_4810,PGILMOUR17,4810
0000022753,33,53932_4355,PGILMOUR17,4355
0000022754,3,53932_4421,PGILMOUR17,4421
