48_DWP_tray_barcode,heart_position
14326,A1
14326,A2
14326,A3
14326,B2
14326,B3
14326,B4
14326,B5
14326,C2
14326,C3
14326,C4
14326,C5
14326,D2
14326,D3
14326,D4
14326,D5
14326,E2
14326,E3
14326,E4
14326,E5
14326,F2
14326,F3
14326,F4
14326,F5
14326,G3
14326,G4
14326,G5
14327,C2
14327,C3
14327,C4
14327,C5
14327,D2
14327,D3
14327,D4
14327,D5
14327,E2
14327,E3
14327,E4
14327,E5
14327,F3
14327,F4
14327,F5
16122,B2
16122,B3
16122,B4
16122,B5
16122,C2
16122,C3
16122,C4
16122,C5
16122,D2
16122,D3
16122,D4
16122,D5
16122,E2
16122,E3
16122,E4
16122,E5
16122,F2
16122,F3
16122,F4
16122,F5
16122,G1
16122,G2
16122,G3
16122,G4
16122,G5
16122,H1
16122,H2
16122,H3
16120,B4
16120,B5
16120,C4
16120,C5
16120,D4
16120,D5
16120,E2
16120,E3
16120,E4
16120,E5
16120,F2
16120,F3
16120,F4
16120,F5
16120,G2
16120,G3
16120,G4
16120,G5
14452,B3
14452,B4
14452,B5
14452,C3
14452,C4
14452,C5
14452,D3
14452,D4
14452,D5
14452,E3
14452,E4
14452,E5
14452,F3
14452,F4
14452,F5
16174,B2
16174,B3
16174,B4
16174,B5
16174,C2
16174,C3
16174,C4
16174,C5
16174,D1
16174,D2
16174,D3
16174,D4
16174,E1
16174,E2
16174,E3
16174,E4
16174,F1
16174,F2
16174,F3
16174,F4
14368,A2
14368,A3
14368,A4
14368,A5
14368,B2
14368,B3
14368,B4
14368,B5
14368,C2
14368,C3
14368,C4
14368,C5
14368,D2
14368,D3
14368,D4
14368,D5
14368,E2
14368,E3
14368,E4
14368,E5
14368,F2
14368,F3
14368,F4
14368,F5
14368,G2
14368,G3
14368,G4
14368,G5
14307,B2
14307,B3
14307,B4
14307,B5
14307,C2
14307,C3
14307,C4
14307,C5
14307,D2
14307,D3
14307,D4
14307,D5
14307,E2
14307,E3
14307,E4
14307,E5
14307,F2
14307,F3
14307,F4
14307,F5
14307,G2
14307,G3
14307,G4
14307,G5
14307,H2
14307,H3
14307,H4
14307,H5
16138,A1
16138,A2
16138,A3
16138,A4
16138,A5
16138,B1
16138,B2
16138,B3
16138,B4
16138,B5
16138,C1
16138,C2
16138,C3
16138,C4
16138,C5
16138,D1
16138,D2
16138,D3
16138,D4
16138,D5
16138,E1
16138,E2
16138,E3
16138,E4
16138,E5
16138,F1
16138,F2
16138,F3
16138,F4
16138,F5
16138,G2
16138,G3
16138,G4
16138,G5
16133,C3
16133,C4
16133,C5
16133,D2
16133,D3
16133,D4
16133,D5
16133,E2
16133,E3
16133,E4
16133,E5
16133,F2
16133,F3
16133,F4
16133,F5
16133,G2
16133,G3
16133,G4
16133,G5
14290,E2
14290,E3
14290,E5
14290,F2
14290,F3
14290,F4
14290,G2
14290,G3
14290,G4
14342,C2
14342,C3
14342,C4
14342,C5
14342,D2
14342,D3
14342,D4
14342,D5
14342,E2
14342,E3
14342,E4
14342,E5
14342,F2
14342,F3
14342,F4
14342,F5
14342,G2
14342,G3
14342,G4
14342,G5
14342,H2
14342,H3
