SillySource,oto_tray_and_well,96_oto_tray_barcode,96_oto_tray_position,48_DWP_tray_barcode,48_DWP_tray_position,box_number,oto_broken,oto_side,comment,Date,Initials,silly_code,stream,sample_year,sample_date,otolith_info,pass_QA,genotype_match_assigned,logic_match_assigned,non_GOD_assignment,otolith_moved,heart_fish_id,heart_position
PGOD21_1,50956_1,50956,1,14331,F3,NA,NA,unk,NA,4/27/2021,JB,PERB16,Erb Creek,2016,2016-08-20,DWP+Position,FALSE,FALSE,FALSE,FALSE,NA,NA,NA
PGOD21_2,50956_2,50956,2,14331,G3,NA,NA,left,NA,4/27/2021,JB,PERB16,Erb Creek,2016,2016-08-20,DWP+Position,TRUE,TRUE,FALSE,FALSE,FALSE,PERB16_7570,G3
PGOD21_3,50956_3,50956,3,14331,G3,NA,NA,unk,NA,4/27/2021,JB,PERB16,Erb Creek,2016,2016-08-20,DWP+Position,TRUE,FALSE,FALSE,FALSE,NA,NA,NA
PGOD21_4,50956_4,50956,4,14331,C4,NA,NA,left,NA,4/27/2021,JB,PERB16,Erb Creek,2016,2016-08-20,DWP+Position,TRUE,FALSE,FALSE,FALSE,NA,NA,NA
PGOD21_5,50956_5,50956,5,14331,E4,NA,NA,left,NA,4/27/2021,JB,PERB16,Erb Creek,2016,2016-08-20,DWP+Position,FALSE,FALSE,FALSE,FALSE,NA,NA,NA
PGOD21_6,50956_6,50956,6,14331,F4,NA,NA,left,NA,4/27/2021,JB,PERB16,Erb Creek,2016,2016-08-20,DWP+Position,FALSE,FALSE,FALSE,FALSE,NA,NA,NA
PGOD21_7,50956_7,50956,7,14331,G4,NA,NA,left,NA,4/27/2021,JB,PERB16,Erb Creek,2016,2016-08-20,DWP+Position,TRUE,TRUE,FALSE,FALSE,FALSE,PERB16_7578,G4
PGOD21_8,50956_8,50956,8,14331,D5,NA,NA,left,NA,4/27/2021,JB,PERB16,Erb Creek,2016,2016-08-20,DWP+Position,FALSE,FALSE,FALSE,FALSE,NA,NA,NA
PGOD21_9,50956_9,50956,9,14331,E5,NA,NA,left,NA,4/27/2021,JB,PERB16,Erb Creek,2016,2016-08-20,DWP+Position,TRUE,TRUE,FALSE,FALSE,TRUE,PERB16_7576,E4
PGOD21_10,50956_10,50956,10,14331,E5,NA,NA,left,NA,4/27/2021,JB,PERB16,Erb Creek,2016,2016-08-20,DWP+Position,TRUE,FALSE,FALSE,FALSE,NA,NA,NA
PGOD21_11,50956_11,50956,11,14331,F5,NA,NA,left,NA,4/27/2021,JB,PERB16,Erb Creek,2016,2016-08-20,DWP+Position,FALSE,FALSE,FALSE,FALSE,NA,NA,NA
PGOD21_12,50956_12,50956,12,14331,G5,NA,NA,left,NA,4/27/2021,JB,PERB16,Erb Creek,2016,2016-08-20,DWP+Position,FALSE,FALSE,FALSE,FALSE,NA,NA,NA
PGOD21_13,50956_13,50956,13,21941,C2,NA,NA,left,NA,4/27/2021,JB,PERB17,Erb Creek,2017,2017-08-16,DWP+Position,TRUE,TRUE,FALSE,FALSE,FALSE,PERB17_14048,C2
PGOD21_14,50956_14,50956,14,21941,E2,NA,NA,left,NA,4/27/2021,JB,PERB17,Erb Creek,2017,2017-08-16,DWP+Position,TRUE,FALSE,FALSE,FALSE,NA,NA,NA
PGOD21_15,50956_15,50956,15,21941,F2,NA,NA,left,NA,4/27/2021,JB,PERB17,Erb Creek,2017,2017-08-16,DWP+Position,TRUE,FALSE,FALSE,FALSE,NA,NA,NA
PGOD21_16,50956_16,50956,16,21941,C3,NA,NA,left,NA,4/27/2021,JB,PERB17,Erb Creek,2017,2017-08-16,DWP+Position,TRUE,FALSE,FALSE,FALSE,NA,NA,NA
PGOD21_17,50956_17,50956,17,21941,E3,NA,NA,left,NA,4/27/2021,JB,PERB17,Erb Creek,2017,2017-08-16,DWP+Position,FALSE,FALSE,FALSE,FALSE,NA,NA,NA
PGOD21_18,50956_18,50956,18,21941,E3,NA,NA,left,NA,4/27/2021,JB,PERB17,Erb Creek,2017,2017-08-16,DWP+Position,TRUE,TRUE,FALSE,FALSE,TRUE,PERB17_14057,D3
PGOD21_19,50956_19,50956,19,21941,F3,NA,NA,left,NA,4/27/2021,JB,PERB17,Erb Creek,2017,2017-08-16,DWP+Position,TRUE,FALSE,FALSE,FALSE,NA,NA,NA
PGOD21_20,50956_20,50956,20,21941,C4,NA,NA,left,NA,4/27/2021,JB,PERB17,Erb Creek,2017,2017-08-16,DWP+Position,TRUE,FALSE,FALSE,FALSE,NA,NA,NA
PGOD21_21,50956_21,50956,21,21941,D4,NA,NA,left,NA,4/27/2021,JB,PERB17,Erb Creek,2017,2017-08-16,DWP+Position,TRUE,FALSE,FALSE,FALSE,NA,NA,NA
PGOD21_22,50956_22,50956,22,21941,E4,NA,NA,left,NA,4/27/2021,JB,PERB17,Erb Creek,2017,2017-08-16,DWP+Position,TRUE,FALSE,FALSE,FALSE,NA,NA,NA
PGOD21_23,50956_23,50956,23,21941,F4,NA,NA,left,NA,4/27/2021,JB,PERB17,Erb Creek,2017,2017-08-16,DWP+Position,TRUE,FALSE,FALSE,FALSE,NA,NA,NA
PGOD21_24,50956_24,50956,24,14376,B2,NA,NA,left,NA,4/27/2021,JB,PERB16,Erb Creek,2016,2016-08-24,DWP+Position,TRUE,FALSE,FALSE,FALSE,NA,NA,NA
PGOD21_25,50956_25,50956,25,14376,C2,NA,NA,left,NA,4/27/2021,JB,PERB16,Erb Creek,2016,2016-08-24,DWP+Position,TRUE,TRUE,FALSE,FALSE,FALSE,PERB16_7798,C2
PGOD21_26,50956_26,50956,26,14376,D2,NA,NA,left,NA,4/27/2021,JB,PERB16,Erb Creek,2016,2016-08-24,DWP+Position,TRUE,TRUE,FALSE,FALSE,FALSE,PERB16_7799,D2
PGOD21_27,50956_27,50956,27,14376,E2,NA,NA,left,NA,4/27/2021,JB,PERB16,Erb Creek,2016,2016-08-24,DWP+Position,TRUE,TRUE,FALSE,FALSE,FALSE,PERB16_7800,E2
PGOD21_28,50956_28,50956,28,14376,E3,NA,NA,left,NA,4/27/2021,JB,PERB16,Erb Creek,2016,2016-08-24,DWP+Position,TRUE,TRUE,FALSE,FALSE,FALSE,PERB16_7808,E3
PGOD21_29,50956_29,50956,29,14376,F3,NA,NA,left,NA,4/27/2021,JB,PERB16,Erb Creek,2016,2016-08-24,DWP+Position,TRUE,TRUE,FALSE,FALSE,FALSE,PERB16_7809,F3
PGOD21_30,50956_30,50956,30,14376,B4,NA,NA,left,NA,4/27/2021,JB,PERB16,Erb Creek,2016,2016-08-24,DWP+Position,TRUE,TRUE,FALSE,FALSE,FALSE,PERB16_7813,B4
PGOD21_31,50956_31,50956,31,14376,C4,NA,NA,left,NA,4/27/2021,JB,PERB16,Erb Creek,2016,2016-08-24,DWP+Position,TRUE,FALSE,FALSE,FALSE,NA,NA,NA
PGOD21_32,50956_32,50956,32,14376,C4,NA,NA,left,NA,4/27/2021,JB,PERB16,Erb Creek,2016,2016-08-24,DWP+Position,TRUE,FALSE,FALSE,FALSE,NA,NA,NA
PGOD21_33,50956_33,50956,33,14376,D4,NA,NA,left,NA,4/27/2021,JB,PERB16,Erb Creek,2016,2016-08-24,DWP+Position,TRUE,TRUE,FALSE,FALSE,TRUE,PERB16_7807,D3
PGOD21_34,50956_34,50956,34,14376,D4,NA,NA,left,NA,4/27/2021,JB,PERB16,Erb Creek,2016,2016-08-24,DWP+Position,TRUE,TRUE,FALSE,FALSE,FALSE,PERB16_7815,D4
PGOD21_35,50956_35,50956,35,14376,E4,NA,NA,left,NA,4/27/2021,JB,PERB16,Erb Creek,2016,2016-08-24,DWP+Position,TRUE,TRUE,FALSE,FALSE,FALSE,PERB16_7816,E4
PGOD21_36,50956_36,50956,36,14376,F4,NA,NA,left,NA,4/27/2021,JB,PERB16,Erb Creek,2016,2016-08-24,DWP+Position,TRUE,TRUE,FALSE,FALSE,FALSE,PERB16_7817,F4
PGOD21_37,50956_37,50956,37,14376,B5,NA,NA,left,NA,4/27/2021,JB,PERB16,Erb Creek,2016,2016-08-24,DWP+Position,TRUE,TRUE,FALSE,FALSE,FALSE,PERB16_7821,B5
PGOD21_38,50956_38,50956,38,14376,C5,NA,NA,left,NA,4/27/2021,JB,PERB16,Erb Creek,2016,2016-08-24,DWP+Position,TRUE,TRUE,FALSE,FALSE,FALSE,PERB16_7822,C5
PGOD21_39,50956_39,50956,39,14376,D5,NA,NA,left,NA,4/27/2021,JB,PERB16,Erb Creek,2016,2016-08-24,DWP+Position,TRUE,TRUE,FALSE,FALSE,FALSE,PERB16_7823,D5
PGOD21_40,50956_40,50956,40,14376,E5,NA,NA,left,NA,4/27/2021,JB,PERB16,Erb Creek,2016,2016-08-24,DWP+Position,TRUE,TRUE,FALSE,FALSE,FALSE,PERB16_7824,E5
PGOD21_41,50956_41,50956,41,14376,F5,NA,NA,left,NA,4/27/2021,JB,PERB16,Erb Creek,2016,2016-08-24,DWP+Position,TRUE,FALSE,FALSE,FALSE,NA,NA,NA
PGOD21_42,50956_42,50956,42,14376,C6,NA,NA,left,NA,4/27/2021,JB,PERB16,Erb Creek,2016,2016-08-24,DWP+Position,TRUE,TRUE,FALSE,FALSE,FALSE,PERB16_7830,C6
PGOD21_43,50956_43,50956,43,14376,E6,NA,NA,left,NA,4/27/2021,JB,PERB16,Erb Creek,2016,2016-08-24,DWP+Position,TRUE,TRUE,FALSE,FALSE,FALSE,PERB16_7832,E6
PGOD21_44,50956_44,50956,44,14334,G3,NA,NA,left,NA,4/27/2021,JB,PERB16,Erb Creek,2016,2016-08-20,DWP+Position,TRUE,TRUE,FALSE,FALSE,FALSE,PERB16_7458,G3
PGOD21_45,50956_45,50956,45,14334,H3,NA,NA,left,NA,4/27/2021,JB,PERB16,Erb Creek,2016,2016-08-20,DWP+Position,TRUE,FALSE,TRUE,FALSE,FALSE,PERB16_7459,H3
PGOD21_46,50956_46,50956,46,14334,G4,NA,NA,left,NA,4/27/2021,JB,PERB16,Erb Creek,2016,2016-08-20,DWP+Position,TRUE,TRUE,FALSE,FALSE,FALSE,PERB16_7466,G4
PGOD21_47,50956_47,50956,47,14334,H4,NA,NA,left,NA,4/27/2021,JB,PERB16,Erb Creek,2016,2016-08-20,DWP+Position,TRUE,TRUE,FALSE,FALSE,FALSE,PERB16_7467,H4
PGOD21_48,50956_48,50956,48,14334,G5,NA,NA,left,NA,4/27/2021,JB,PERB16,Erb Creek,2016,2016-08-20,DWP+Position,TRUE,TRUE,FALSE,FALSE,FALSE,PERB16_7474,G5
PGOD21_49,50956_49,50956,49,14334,H5,NA,NA,unk,NA,4/27/2021,JB,PERB16,Erb Creek,2016,2016-08-20,DWP+Position,TRUE,FALSE,TRUE,FALSE,FALSE,PERB16_7475,H5
PGOD21_50,50956_50,50956,50,14332,B1,NA,NA,left,NA,4/27/2021,JB,PERB16,Erb Creek,2016,2016-08-20,DWP+Position,TRUE,TRUE,FALSE,FALSE,FALSE,PERB16_8045,B1
