SillySource,oto_tray_and_well,96_oto_tray_barcode,96_oto_tray_position,48_DWP_tray_barcode,48_DWP_tray_position,box_number,oto_broken,oto_side,comment,Date,Initials,silly_code,stream,sample_year,sample_date,otolith_info,pass_QA,genotype_match_assigned,logic_match_assigned,otolith_moved,heart_fish_id,heart_position
PGOD21_45,50956_45,50956,45,14334,H3,NA,NA,left,NA,4/27/2021,JB,PERB16,Erb Creek,2016,2016-08-20,DWP+Position,TRUE,FALSE,TRUE,FALSE,PERB16_7459,H3
PGOD21_49,50956_49,50956,49,14334,H5,NA,NA,unk,NA,4/27/2021,JB,PERB16,Erb Creek,2016,2016-08-20,DWP+Position,TRUE,FALSE,TRUE,FALSE,PERB16_7475,H5
PGOD21_1331,50925_1,50925,1,14595,G4,NA,NA,left,NA,5/18/2021,JB,PGILMOUR16,Gilmour Creek,2016,2016-08-30,DWP+Position,FALSE,FALSE,TRUE,TRUE,PGILMOUR16_3473,C3
PGOD21_1334,50925_4,50925,4,14595,D5,NA,NA,left,NA,5/18/2021,JB,PGILMOUR16,Gilmour Creek,2016,2016-08-30,DWP+Position,TRUE,FALSE,TRUE,TRUE,PGILMOUR16_3481,C4
PGOD21_1335,50925_5,50925,5,14595,E5,NA,NA,left,NA,5/18/2021,JB,PGILMOUR16,Gilmour Creek,2016,2016-08-30,DWP+Position,TRUE,FALSE,TRUE,TRUE,PGILMOUR16_3490,D5
PGOD21_1336,50925_6,50925,6,14595,F5,NA,NA,left,NA,5/18/2021,JB,PGILMOUR16,Gilmour Creek,2016,2016-08-30,DWP+Position,TRUE,FALSE,TRUE,TRUE,PGILMOUR16_3491,E5
PGOD21_1337,50925_7,50925,7,14595,G5,NA,NA,left,NA,5/18/2021,JB,PGILMOUR16,Gilmour Creek,2016,2016-08-30,DWP+Position,TRUE,FALSE,TRUE,TRUE,PGILMOUR16_3468,F2
PGOD21_1496,50920_71,50920,71,14595,B2,NA,TRUE,left,NA,5/18/2021,JB,PGILMOUR16,Gilmour Creek,2016,2016-08-30,DWP+Position,TRUE,FALSE,TRUE,TRUE,PGILMOUR16_3492,F5
PGOD21_1499,50920_74,50920,74,14595,D2,NA,NA,left,NA,5/18/2021,JB,PGILMOUR16,Gilmour Creek,2016,2016-08-30,DWP+Position,TRUE,FALSE,TRUE,TRUE,PGILMOUR16_3469,G2
PGOD21_1502,50920_77,50920,77,14595,F2,NA,NA,left,NA,5/18/2021,JB,PGILMOUR16,Gilmour Creek,2016,2016-08-30,DWP+Position,FALSE,FALSE,TRUE,TRUE,PGILMOUR16_3493,G5
