otolith_fish_id,heart_fish_id,otolith_miss_loci,heart_miss_loci,duplicate_rate,48_DWP_tray_barcode,diff,otolith_position,otolith_row,otolith_col,heart_position,heart_row,heart_col,heart_fish_id_self,heart_miss_loci_self,duplicate_rate_self,diff_self,match_type
PGOD21_3424,PGILMOUR15_25,193,0,0.8571428571428571,2071,0.32380952380952377,D1,D,1,D1,D,1,PGILMOUR15_25,0,0.8571428571428571,0,self
PGOD21_3425,PGILMOUR15_26,122,2,0.7670454545454546,2071,0.20454545454545459,F1,F,1,E1,E,1,PGILMOUR15_27,10,0.5260115606936416,0.24103389385181295,not_self
PGOD21_3426,PGILMOUR15_30,46,0,1,2071,0.4940239043824701,A2,A,2,A2,A,2,PGILMOUR15_30,0,1,0,self
PGOD21_3427,PGILMOUR15_33,190,0,0.7685185185185185,2071,0.23580823814468677,C2,C,2,D2,D,2,PGILMOUR15_32,1,0.5,0.2685185185185185,not_self
PGOD21_3428,PGILMOUR15_37,92,2,0.5951219512195122,2071,0.019512195121951237,D2,D,2,H2,H,2,PGILMOUR15_33,0,0.5048543689320388,0.09026758228747334,not_self
PGOD21_3430,PGILMOUR15_34,41,19,0.6612244897959184,2071,0.03087429524338925,E2,E,2,E2,E,2,PGILMOUR15_34,19,0.6612244897959184,0,self
PGOD21_3431,PGILMOUR15_59,121,0,0.9491525423728814,2071,0.44347072419106315,F2,F,2,F5,F,5,PGILMOUR15_35,13,0.47093023255813954,0.47822230981474184,not_self
PGOD21_3432,PGILMOUR15_44,98,1,0.97,2071,0.405,G2,G,2,G3,G,3,PGILMOUR15_36,6,0.5202020202020202,0.44979797979797975,not_self
PGOD21_3433,PGILMOUR15_51,178,0,0.8916666666666667,2071,0.35776836158192094,G2,G,2,F4,F,4,PGILMOUR15_36,6,0.5166666666666667,0.375,not_self
PGOD21_3434,PGILMOUR15_40,117,0,0.5414364640883977,2071,0.0055248618784530246,G2,G,2,C3,C,3,PGILMOUR15_36,6,0.4585635359116022,0.08287292817679554,not_self
PGOD21_3435,PGILMOUR15_37,111,2,0.6310160427807486,2071,0.09625668449197855,G2,G,2,H2,H,2,PGILMOUR15_36,6,0.532608695652174,0.09840734712857468,not_self
PGOD21_3437,PGILMOUR15_42,179,2,0.8403361344537815,2071,0.24369747899159666,H2,H,2,E3,E,3,PGILMOUR15_37,2,0.46218487394957986,0.37815126050420167,not_self
PGOD21_3438,PGILMOUR15_38,80,1,0.9678899082568807,2071,0.4770642201834862,A3,A,3,A3,A,3,PGILMOUR15_38,1,0.9678899082568807,0,self
PGOD21_3439,PGILMOUR15_50,23,3,0.9084249084249084,2071,0.36660672660672655,A3,A,3,E4,E,4,PGILMOUR15_38,1,0.5109489051094891,0.3974760033154193,not_self
PGOD21_3440,PGILMOUR15_46,219,0,0.9873417721518988,2071,0.4683544303797469,A3,A,3,A4,A,4,PGILMOUR15_38,1,0.43037974683544306,0.5569620253164558,not_self
PGOD21_3441,PGILMOUR15_39,163,1,0.9259259259259259,2071,0.3925925925925926,B3,B,3,B3,B,3,PGILMOUR15_39,1,0.9259259259259259,0,self
PGOD21_3444,PGILMOUR15_54,76,1,0.9279279279279279,2071,0.4054054054054054,A5,A,5,A5,A,5,PGILMOUR15_54,1,0.9279279279279279,0,self
PGOD21_3445,PGILMOUR15_55,55,0,0.9753086419753086,2071,0.45051525354555655,B5,B,5,B5,B,5,PGILMOUR15_55,0,0.9753086419753086,0,self
PGOD21_3446,PGILMOUR15_59,102,0,0.9846938775510204,2071,0.47959183673469397,F5,F,5,F5,F,5,PGILMOUR15_59,0,0.9846938775510204,0,self
PGOD21_5377,PGILMOUR15_43,139,5,0.8113207547169812,2071,0.2767295597484277,vial,NA,NA,F3,F,3,NA,NA,NA,NA,not_self
PGOD21_2898,PGILMOUR15_76,92,0,0.9514563106796117,2081,0.4223300970873787,A2,A,2,A2,A,2,PGILMOUR15_76,0,0.9514563106796117,0,self
PGOD21_2899,PGILMOUR15_77,170,1,0.7401574803149606,2081,0.20890748031496065,B2,B,2,B2,B,2,PGILMOUR15_77,1,0.7401574803149606,0,self
PGOD21_2900,PGILMOUR15_78,156,8,0.9787234042553191,2081,0.4646388972130656,C2,C,2,C2,C,2,PGILMOUR15_78,8,0.9787234042553191,0,self
PGOD21_2902,PGILMOUR15_80,127,0,0.8187134502923976,2081,0.30106639146886816,E2,E,2,E2,E,2,PGILMOUR15_80,0,0.8187134502923976,0,self
PGOD21_2903,PGILMOUR15_81,81,2,0.6774193548387096,2081,0.12903225806451613,F2,F,2,F2,F,2,PGILMOUR15_81,2,0.6774193548387096,0,self
PGOD21_2905,PGILMOUR15_92,60,1,0.9957983193277311,2081,0.4936706597532631,A3,A,3,A4,A,4,PGILMOUR15_84,1,0.40756302521008403,0.5882352941176471,not_self
PGOD21_2907,PGILMOUR15_84,137,1,0.906832298136646,2081,0.344332298136646,A3,A,3,A3,A,3,PGILMOUR15_84,1,0.906832298136646,0,self
PGOD21_2909,PGILMOUR15_86,21,0,0.9927797833935018,2081,0.49097472924187724,D3,D,3,C3,C,3,PGILMOUR15_87,7,0.4411764705882353,0.5516033128052665,not_self
PGOD21_2910,PGILMOUR15_87,43,7,0.8273092369477911,2081,0.1816399456092085,D3,D,3,D3,D,3,PGILMOUR15_87,7,0.8273092369477911,0,self
PGOD21_2911,PGILMOUR15_88,99,1,0.8636363636363636,2081,0.21717171717171713,E3,E,3,E3,E,3,PGILMOUR15_88,1,0.8636363636363636,0,self
PGOD21_2913,PGILMOUR15_89,2,1,1,2081,0.46366782006920415,F3,F,3,F3,F,3,PGILMOUR15_89,1,1,0,self
PGOD21_2914,PGILMOUR15_93,165,1,0.9624060150375939,2081,0.4169514695830485,B4,B,4,B4,B,4,PGILMOUR15_93,1,0.9624060150375939,0,self
PGOD21_2915,PGILMOUR15_94,109,6,0.9576719576719577,2081,0.47089947089947093,C4,C,4,C4,C,4,PGILMOUR15_94,6,0.9576719576719577,0,self
